"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"Evenness";"Organisation";"CV"
"HIGH_G05_65_t1_5000x.fcs";"HIGH_G05_65_t1_5000x.fcs";10950;3987,08486586547;36,2278128114497;2564,07645467395;30,0788984680092;0,275168107509976;0,0642636850774588;181,213484239827
"HIGH_G05_65_t5_5000x.fcs";"HIGH_G05_65_t5_5000x.fcs";9483;2825,97531962475;36,6749222557715;1758,74419761036;33,1103573966288;0,225897881568427;0,0698266604256245;209,953245740727
"HIGH_G05_88_t1_5000x.fcs";"HIGH_G05_88_t1_5000x.fcs";10401;3525,56462245221;31,8754054043765;2184,18262414194;41,2521531224769;0,257238443508726;0,0650506457425842;194,349812314416
"HIGH_G05_88_t5_5000x.fcs";"HIGH_G05_88_t5_5000x.fcs";8676;2593,86592607631;29,6411286030096;1606,10411485788;19,8994714455629;0,227112102104631;0,0724050038887794;209,688456639098
"HIGH_G06_65_t1_5000x.fcs";"HIGH_G06_65_t1_5000x.fcs";10983;3968,44490218664;40,435247451251;2506,33355020474;44,5830556606517;0,271533893954964;0,0684405990803547;183,463614456369
"HIGH_G06_65_t5_5000x.fcs";"HIGH_G06_65_t5_5000x.fcs";9210;2737,17143604755;34,4860310368536;1744,71542503251;35,4700460276675;0,225574614804083;0,0696339547369203;208,267996491311
"HIGH_G06_88_t1_5000x.fcs";"HIGH_G06_88_t1_5000x.fcs";10344;3547,89816636892;54,6948734222018;2148,622118317;42,112949860052;0,262395831034217;0,0610032851352006;195,463375730299
"HIGH_G06_88_t5_5000x.fcs";"HIGH_G06_88_t5_5000x.fcs";9324;2490,06906647068;38,6199549382332;1525,27105501563;33,4929824320863;0,203932610654209;0,0729813644081662;226,015551679008
"HIGH_G07_65_t1_5000x.fcs";"HIGH_G07_65_t1_5000x.fcs";10751;3917,87682017498;48,953367974043;2555,25350716155;43,60620623207;0,27447338203966;0,0664303166664044;180,728436088703
"HIGH_G07_65_t5_5000x.fcs";"HIGH_G07_65_t5_5000x.fcs";9529;2903,53519507681;31,219682227952;1808,62666348321;23,0810137759157;0,232112710577977;0,0700615944119459;207,564902513074
"HIGH_G07_88_t1_5000x.fcs";"HIGH_G07_88_t1_5000x.fcs";10781;3670,93149389798;57,1436052177175;2215,78178946541;43,4597347833965;0,259198183803588;0,0590092268550275;197,029326924459
"HIGH_G07_88_t5_5000x.fcs";"HIGH_G07_88_t5_5000x.fcs";8634;2360,71922967664;37,0351800715459;1418,75589639512;27,0661120931477;0,211143456644295;0,0679459092858102;225,967228228013
"HIGH_G08_65_t1_5000x.fcs";"HIGH_G08_65_t1_5000x.fcs";11587;4154,99720258421;52,757394759349;2687,40902481683;42,2380233044736;0,268734608187782;0,0670902181893507;181,074044816279
"HIGH_G08_65_t5_5000x.fcs";"HIGH_G08_65_t5_5000x.fcs";9542;2852,42572791594;45,001960028716;1803,18025786328;40,5597363078637;0,22759676836025;0,0734496609568367;207,330337725936
